Date	Time	Open	High	Low	Close	TickVol	Vol	Spread
2024.12.08	15:00:00	99726.72	99964.63	99357.16	99912.01	0	0	0
2024.12.08	16:00:00	99912.01	100142.85	99733.15	99832.96	0	0	0
2024.12.08	17:00:00	99832.97	100000	99628.01	99943.98	0	0	0
2024.12.08	18:00:00	99943.99	100016	99563.83	99660.98	0	0	0
2024.12.08	19:00:00	99660.99	100198	99480	100100.98	0	0	0
2024.12.08	20:00:00	100100.99	100156	99800	99800.01	0	0	0
2024.12.08	21:00:00	99800.01	100058.83	99736.06	100026.97	0	0	0
2024.12.08	22:00:00	100026.98	100274.44	99879.21	100220.01	0	0	0
2024.12.08	23:00:00	100220.01	101351	100088.98	101109.59	0	0	0
2024.12.09	00:00:00	101109.6	101215.93	99347.98	99656.36	0	0	0
2024.12.09	01:00:00	99656.36	99863.99	99390	99528.54	0	0	0
2024.12.09	02:00:00	99528.55	99721.56	99009.73	99195.89	0	0	0
2024.12.09	03:00:00	99195.89	99350.45	98432.18	99090.84	0	0	0
2024.12.09	04:00:00	99090.84	99459.61	98767.54	99427.99	0	0	0
2024.12.09	05:00:00	99428	99554.89	99324	99435.87	0	0	0
2024.12.09	06:00:00	99435.87	99475.99	98856.02	99044.64	0	0	0
2024.12.09	07:00:00	99044.64	99729.88	98328	99576.51	0	0	0
2024.12.09	08:00:00	99576.51	99679.71	98808	98901.15	0	0	0
2024.12.09	09:00:00	98901.15	99099.99	98406.08	98406.08	0	0	0
2024.12.09	10:00:00	98406.08	98770.11	98272.04	98714.52	0	0	0
2024.12.09	11:00:00	98714.52	98714.52	98035.57	98088.47	0	0	0
2024.12.09	12:00:00	98088.47	98627.7	97948.01	98601.05	0	0	0
2024.12.09	13:00:00	98601.05	99211.58	98237.03	99004.03	0	0	0
2024.12.09	14:00:00	99004.03	100390	98856	100156.26	0	0	0
2024.12.09	15:00:00	100156.26	100421.8	97508.58	97812	0	0	0
2024.12.09	16:00:00	97812	98398	97460	97844.06	0	0	0
2024.12.09	17:00:00	97844.06	98240	97350	97368.04	0	0	0
2024.12.09	18:00:00	97368.05	98260	97365.48	97776.66	0	0	0
2024.12.09	19:00:00	97776.65	97776.66	97000	97070.32	0	0	0
2024.12.09	20:00:00	97070.33	97330.49	96111	96252.01	0	0	0
2024.12.09	21:00:00	96252	97572.52	94150.05	96892	0	0	0
2024.12.09	22:00:00	96892	97381.47	94837.42	96984.01	0	0	0
2024.12.09	23:00:00	96984	97533.14	96700.46	97276.47	0	0	0
2024.12.10	00:00:00	97276.48	98138	97000	97867.91	0	0	0
2024.12.10	01:00:00	97867.91	98058.5	97467.8	97946	0	0	0
2024.12.10	02:00:00	97946	97946.01	96614.27	96660.01	0	0	0
2024.12.10	03:00:00	96660	96947.26	95565.41	96931.99	0	0	0
2024.12.10	04:00:00	96931.99	97132.45	95900	97031.97	0	0	0
2024.12.10	05:00:00	97031.98	97051.99	96520.49	96941.99	0	0	0
2024.12.10	06:00:00	96941.99	97519.2	96810.85	97464.6	0	0	0
2024.12.10	07:00:00	97464.6	97502.74	96908	97196.44	0	0	0
2024.12.10	08:00:00	97196.44	97547.52	96938.19	97385.72	0	0	0
2024.12.10	09:00:00	97385.72	97680	97224.79	97489.1	0	0	0
2024.12.10	10:00:00	97489.1	97862.43	97489.09	97687.5	0	0	0
2024.12.10	11:00:00	97687.5	97937.5	97444.42	97722.52	0	0	0
2024.12.10	12:00:00	97722.53	97841.1	96864.04	97161.5	0	0	0
2024.12.10	13:00:00	97161.5	97929.99	97128	97738.36	0	0	0
2024.12.10	14:00:00	97738.35	98270	97140	97820.01	0	0	0
2024.12.10	15:00:00	97820.01	98113.68	95555	95658.79	0	0	0
2024.12.10	16:00:00	95658.79	96500	94508.69	96319.77	0	0	0
2024.12.10	17:00:00	96319.76	96391.17	94401.76	94484.01	0	0	0
2024.12.10	18:00:00	94484.01	95524	94256.54	95132.03	0	0	0
2024.12.10	19:00:00	95132.04	96171.14	94980.27	95856.5	0	0	0
2024.12.10	20:00:00	95856.5	96700	95616	96434.76	0	0	0
2024.12.10	21:00:00	96434.75	97200.7	96382.35	96858	0	0	0
2024.12.10	22:00:00	96858	97099.49	96587.43	96849.44	0	0	0
2024.12.10	23:00:00	96849.45	97128.62	96402.7	96593	0	0	0
2024.12.11	00:00:00	96593	96842.42	95816.36	96412.61	0	0	0
2024.12.11	01:00:00	96412.61	96635.79	95658.24	95752.02	0	0	0
2024.12.11	02:00:00	95752.02	97444.44	95677.96	97207.29	0	0	0
2024.12.11	03:00:00	97207.29	97625.76	97128.24	97398.43	0	0	0
2024.12.11	04:00:00	97398.42	97600	97181.7	97546.96	0	0	0
2024.12.11	05:00:00	97546.97	97700	97300.8	97495.19	0	0	0
2024.12.11	06:00:00	97495.2	97765.77	97391.4	97689.57	0	0	0
